x,y,value
2,0,3.0
15,4,4.0
37,1,3.5
26,3,3.5
7,0,2.5
27,2,2.0
2,2,3.5
0,3,3.0
9,3,2.0
5,4,3.0
1,1,3.5
4,3,3.5
21,3,5.0
34,4,4.0
9,0,3.5
24,0,4.5
25,0,4.0
1,4,3.5
2,3,3.0
21,4,2.5
8,4,4.0
16,2,4.0
24,3,4.5
11,2,3.5
8,1,5.0
13,1,5.0
19,3,4.0
10,3,2.5
2,1,3.5
36,2,3.5
14,1,1.0
13,0,4.0
26,4,3.0
22,3,5.0
